ObjectID	X	Y	Z	Timepoint	Radius	Precursors	Color
76	319.484375	204.3984375	60	210	10	"{11, 46, 58, 71}"	"RGBColor[0.4664785719342337, 0.7141544168204113, 0.49664249098468316]"
76	320.203125	212.3046875	51	262	10	"{11, 46, 58, 71}"	"RGBColor[0.4664785719342337, 0.7141544168204113, 0.49664249098468316]"
77	323.796875	230.2734375	50	263	10	"{11, 46, 58, 71, 76}"	"RGBColor[0.24549392577771298, 0.33234755047277775, 0.8061022965403692]"
77	326.671875	226.6796875	22	300	10	"{11, 46, 58, 71, 76}"	"RGBColor[0.24549392577771298, 0.33234755047277775, 0.8061022965403692]"
78	317.328125	205.8359375	51	263	10	"{11, 46, 58, 71, 76}"	"RGBColor[0.5322173697260548, 0.7326728015523071, 0.42430364874365156]"
78	319.484375	223.0859375	31	300	10	"{11, 46, 58, 71, 76}"	"RGBColor[0.5322173697260548, 0.7326728015523071, 0.42430364874365156]"
79	318.046875	238.8984375	67	266	10	"{11, 46, 58, 71, 75}"	"RGBColor[0.8736141577241947, 0.25810588323729566, 0.1543413452358826]"
79	326.671875	257.5859375	44	300	10	"{11, 46, 58, 71, 75}"	"RGBColor[0.8736141577241947, 0.25810588323729566, 0.1543413452358826]"
80	320.203125	253.2734375	67	266	10	"{11, 46, 58, 71, 75}"	"RGBColor[0.8677367584643245, 0.212186364497009, 0.14630963609692477]"
80	332.421875	275.5546875	45	300	10	"{11, 46, 58, 71, 75}"	"RGBColor[0.8677367584643245, 0.212186364497009, 0.14630963609692477]"
81	322.359375	190.0234375	97	17	10	{7}	"RGBColor[0.39101585690982, 0.6760496151058736, 0.5993035772549142]"
81	303.671875	200.8046875	94	77	10	{7}	"RGBColor[0.39101585690982, 0.6760496151058736, 0.5993035772549142]"
82	341.765625	187.8671875	97	17	10	{7}	"RGBColor[0.8269962137058571, 0.6974508272117363, 0.24941227450121622]"
82	348.234375	197.9296875	96	80	10	{7}	"RGBColor[0.8269962137058571, 0.6974508272117363, 0.24941227450121622]"
83	346.078125	188.5859375	96	81	10	"{7, 82}"	"RGBColor[0.8594955909254711, 0.6737055417693297, 0.2379771949914221]"
83	345.359375	192.1796875	97	153	10	"{7, 82}"	"RGBColor[0.8594955909254711, 0.6737055417693297, 0.2379771949914221]"
84	351.109375	208.7109375	95	81	10	"{7, 82}"	"RGBColor[0.8830441275633126, 0.3252807745319599, 0.16677221649777485]"
84	348.234375	217.3359375	94	137	10	"{7, 82}"	"RGBColor[0.8830441275633126, 0.3252807745319599, 0.16677221649777485]"
85	348.234375	207.2734375	94	138	10	"{7, 82, 84}"	"RGBColor[0.9016400019940509, 0.44608407162998653, 0.1904683172180719]"
85	346.796875	218.0546875	90	230	10	"{7, 82, 84}"	"RGBColor[0.9016400019940509, 0.44608407162998653, 0.1904683172180719]"
87	353.984375	223.0859375	92	138	10	"{7, 82, 84}"	"RGBColor[0.7369557078956703, 0.7349484506672039, 0.28549648927724847]"
87	350.390625	232.4296875	87	194	10	"{7, 82, 84}"	"RGBColor[0.7369557078956703, 0.7349484506672039, 0.28549648927724847]"
88	343.203125	230.2734375	84	195	10	"{7, 82, 84, 87}"	"RGBColor[0.8924628540813232, 0.38646709959982223, 0.17877418462565126]"
88	334.578125	248.2421875	84	253	10	"{7, 82, 84, 87}"	"RGBColor[0.8924628540813232, 0.38646709959982223, 0.17877418462565126]"
89	359.734375	235.3046875	89	195	10	"{7, 82, 84, 87}"	"RGBColor[0.4714438712945738, 0.7158221514102301, 0.4907228085082855]"
89	359.015625	243.2109375	89	259	10	"{7, 82, 84, 87}"	"RGBColor[0.4714438712945738, 0.7158221514102301, 0.4907228085082855]"
90	362.609375	237.4609375	86	260	10	"{7, 82, 84, 87, 89}"	"RGBColor[0.2627020859427897, 0.46720422044807935, 0.8046321183670033]"
90	368.359375	243.9296875	72	300	10	"{7, 82, 84, 87, 89}"	"RGBColor[0.2627020859427897, 0.46720422044807935, 0.8046321183670033]"
91	358.296875	246.0859375	93	260	10	"{7, 82, 84, 87, 89}"	"RGBColor[0.5604458588588501, 0.7368060941330562, 0.39971178607340835]"
91	361.171875	256.1484375	85	300	10	"{7, 82, 84, 87, 89}"	"RGBColor[0.5604458588588501, 0.7368060941330562, 0.39971178607340835]"
92	336.734375	238.8984375	84	254	10	"{7, 82, 84, 87, 88}"	"RGBColor[0.5612179015593649, 0.7369191387367204, 0.3990392042721895]"
92	343.921875	255.4296875	68	300	10	"{7, 82, 84, 87, 88}"	"RGBColor[0.5612179015593649, 0.7369191387367204, 0.3990392042721895]"
93	336.734375	256.8671875	84	254	10	"{7, 82, 84, 87, 88}"	"RGBColor[0.8701007278695682, 0.23065581545752578, 0.14954009804732346]"
93	348.234375	272.6796875	69	300	10	"{7, 82, 84, 87, 88}"	"RGBColor[0.8701007278695682, 0.23065581545752578, 0.14954009804732346]"
