41 -5 2 #Rotation x y z       
400.9 120.3 -306 #Center of root x y z     
689 393 200 #Dimension of raw data set x y z   
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1122 300 142.0263671875 123 1 10 {} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 {1122} "RGBColor[0., 1., 0.]" 4 0 0
1 282.1490885417 140.2320963542 123 88 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 276.7662760417 142.9235026042 123 89 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.9720052083 142.0263671875 123 90 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 142.0263671875 123 91 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 0
2 347.6399739583 133.9521484375 123 2 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 134.8492838542 123 3 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 134.8492838542 123 4 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.6399739583 132.1578776042 123 5 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 134.8492838542 123 6 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.7428385417 133.9521484375 123 7 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 349.4342447917 133.9521484375 123 8 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 349.4342447917 133.9521484375 123 9 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.7428385417 133.9521484375 123 10 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 343.154296875 133.9521484375 123 11 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 345.845703125 133.0550130208 123 12 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 132.1578776042 123 13 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 349.4342447917 133.9521484375 123 14 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.6399739583 133.9521484375 123 15 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.3313802083 133.9521484375 123 16 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 133.9521484375 123 17 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 133.0550130208 123 18 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.6399739583 133.0550130208 123 19 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.3313802083 133.9521484375 123 20 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.7428385417 133.0550130208 123 21 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.6399739583 133.9521484375 123 22 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 134.8492838542 123 23 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 352.1256510417 132.1578776042 123 24 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 345.845703125 131.2607421875 123 25 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.6399739583 132.1578776042 123 26 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 130.3636067708 123 27 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.537109375 130.3636067708 123 28 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 345.5092773438 131.4289550781 123 29 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 344.8364257813 132.1018066406 123 30 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 128.7375488281 123 31 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 130.0832519531 123 32 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 345.5092773438 130.0832519531 123 33 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 342.8178710938 128.7375488281 123 34 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.8549804688 130.7561035156 123 35 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 130.7561035156 123 36 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.5278320313 130.7561035156 123 37 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.8549804688 130.7561035156 123 38 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.8549804688 131.4289550781 123 39 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 130.7561035156 123 40 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.5278320313 130.0832519531 123 41 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.8920898438 132.1018066406 123 42 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 129.4104003906 123 43 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.2192382813 131.4289550781 123 44 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.8549804688 130.7561035156 123 45 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.1821289063 130.7561035156 123 46 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 130.7561035156 123 47 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.2006835938 131.4289550781 123 48 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 346.8549804688 131.4289550781 123 49 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.8735351563 129.4104003906 123 50 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 348.8735351563 129.4104003906 123 51 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.8920898438 131.4289550781 123 52 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.5278320313 129.4104003906 123 53 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 347.5278320313 127.3918457031 123 54 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.2192382813 129.4104003906 123 55 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 349.5463867188 128.7375488281 123 56 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 351.5649414063 126.7189941406 123 57 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
2 350.2192382813 127.3918457031 123 58 10 {1122} "RGBColor[0.688961, 0.742777, 0.308977]" 1122 "{1122, 2}" "RGBColor[0., 1., 0.]" 4 0 -
