92;0;16;#Rotation;x;y;z;;;;;;;
315.6;117.3;-130.8;#Center;of;root;x;y;z;;;;;
682;406;130;#Dimension;of;raw;data;set;x;y;z;;;
ObjectID;X;Y;Z;Timepoint;Radius;Precursors;Color;Lineage;TrackID;TrackColor;TrackGroup;Layer;DivisionType
52;324.0166015625;150.7495117188;76;341;10;{6, 9, 39, 40, 51};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
53;336.0048828125;159.4077148438;81;265;10;{6, 9, 39, 40, 51};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
53;338.6689453125;170.7299804688;85;341;10;{6, 9, 39, 40, 51};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;0
54;343.3310546875;164.7358398438;85;342;10;{6, 9, 39, 40, 51, 53};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
54;343.3310546875;163.4038085938;83;350;10;{6, 9, 39, 40, 51, 53};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
55;330.6767578125;177.3901367188;85;342;10;{6, 9, 39, 40, 51, 53};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
55;331.3427734375;182.7182617188;84;350;10;{6, 9, 39, 40, 51, 53};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
56;322.0185546875;142.0913085938;76;342;10;{6, 9, 39, 40, 51, 52};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
56;323.3505859375;141.4252929688;76;350;10;{6, 9, 39, 40, 51, 52};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
57;324.0166015625;156.0776367188;76;342;10;{6, 9, 39, 40, 51, 52};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
57;330.0107421875;161.4057617188;76;350;10;{6, 9, 39, 40, 51, 52};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
58;347.3271484375;172.0620117188;74;287;10;{6, 9, 39, 40, 50};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
58;345.9951171875;176.0581054688;75;350;10;{6, 9, 39, 40, 50};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
59;335.3388671875;178.0561523438;74;287;10;{6, 9, 39, 40, 50};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
59;332.6748046875;192.7084960938;77;350;10;{6, 9, 39, 40, 50};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
60;388.6201171875;146.0874023438;71;133;10;{6, 9, 38};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
60;400.6083984375;146.0874023438;74;186;10;{6, 9, 38};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;0
61;378.6298828125;132.1010742188;70;133;10;{6, 9, 38};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
