ID Time CellCorners
20 11 0,-0.8784,0,0,-1.0892,0,-0.240196,-1.06154,0,-0.24998,-1.05827,0,-0.248898,-0.882431,0
19 11 -0.24998,-1.05827,0,-0.5,-1.10305,0,-0.496444,-0.892859,0,-0.248898,-0.882431,0
18 11 0.5,-1.10287,0,0.5,-1.33,0,0.242424,-1.33,0,0.259778,-1.06185,0
17 11 0.242424,-1.33,0,0,-1.33,0,0,-1.0892,0,0.249995,-1.05796,0,0.259778,-1.06185,0
16 11 0.496444,-0.892948,0,0.5,-1.10287,0,0.259778,-1.06185,0,0.249995,-1.05796,0,0.248885,-0.882449,0
15 11 0.249995,-1.05796,0,0,-1.0892,0,0,-0.8784,0,0.248885,-0.882449,0
14 11 -0.5,-1.10305,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.984991,-1.05053,0
13 11 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999665,-1.04527,0,-0.984991,-1.05053,0
12 11 -0.496444,-0.892859,0,-0.5,-1.10305,0,-0.984991,-1.05053,0,-0.999665,-1.04527,0,-0.992888,-0.921279,0
11 11 -0.999665,-1.04527,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.992888,-0.921279,0
10 11 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19584,0
9 11 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.10287,0,0.999999,-1.19584,0
8 11 0.999999,-1.19584,0,0.5,-1.10287,0,0.496444,-0.892948,0,1.5,-0.94,0,1.5,-1.12,0
22 12 0,-1.08612,0,0,-1.33,0,-0.257586,-1.33,0,-0.240195,-1.05875,0
21 12 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.10136,0,-0.24998,-1.05547,0,-0.240195,-1.05875,0
20 12 0,-0.87224,0,0,-1.08612,0,-0.240195,-1.05875,0,-0.24998,-1.05547,0,-0.248787,-0.876673,0
19 12 -0.24998,-1.05547,0,-0.5,-1.10136,0,-0.496089,-0.888145,0,-0.248787,-0.876673,0
18 12 0.5,-1.10116,0,0.5,-1.33,0,0.242424,-1.33,0,0.259777,-1.05909,0
17 12 0.242424,-1.33,0,0,-1.33,0,0,-1.08612,0,0.249995,-1.05513,0,0.259777,-1.05909,0
16 12 0.496089,-0.888243,0,0.5,-1.10116,0,0.259777,-1.05909,0,0.249995,-1.05513,0,0.248774,-0.876693,0
15 12 0.249995,-1.05513,0,0,-1.08612,0,0,-0.87224,0,0.248774,-0.876693,0
14 12 -0.5,-1.10136,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.984962,-1.04978,0
13 12 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999627,-1.04453,0,-0.984962,-1.04978,0
12 12 -0.496089,-0.888145,0,-0.5,-1.10136,0,-0.984962,-1.04978,0,-0.999627,-1.04453,0,-0.992177,-0.919407,0
11 12 -0.999627,-1.04453,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.992177,-0.919407,0
10 12 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19555,0
9 12 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.10116,0,0.999999,-1.19555,0
8 12 0.999999,-1.19555,0,0.5,-1.10116,0,0.496089,-0.888243,0,1.5,-0.94,0,1.5,-1.12,0
22 13 0,-1.08304,0,0,-1.33,0,-0.257586,-1.33,0,-0.240195,-1.05596,0
21 13 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.09966,0,-0.249979,-1.05266,0,-0.240195,-1.05596,0
20 13 0,-0.86608,0,0,-1.08304,0,-0.240195,-1.05596,0,-0.249979,-1.05266,0,-0.248676,-0.870914,0
19 13 -0.249979,-1.05266,0,-0.5,-1.09966,0,-0.495733,-0.883431,0,-0.248676,-0.870914,0
18 13 0.5,-1.09945,0,0.5,-1.33,0,0.242424,-1.33,0,0.259777,-1.05633,0
17 13 0.242424,-1.33,0,0,-1.33,0,0,-1.08304,0,0.249994,-1.0523,0,0.259777,-1.05633,0
16 13 0.495733,-0.883538,0,0.5,-1.09945,0,0.259777,-1.05633,0,0.249994,-1.0523,0,0.248663,-0.870936,0
15 13 0.249994,-1.0523,0,0,-1.08304,0,0,-0.86608,0,0.248663,-0.870936,0
14 13 -0.5,-1.09966,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.984933,-1.04904,0
13 13 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.99959,-1.0438,0,-0.984933,-1.04904,0
12 13 -0.495733,-0.883431,0,-0.5,-1.09966,0,-0.984933,-1.04904,0,-0.99959,-1.0438,0,-0.991466,-0.917534,0
11 13 -0.99959,-1.0438,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.991466,-0.917534,0
10 13 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19526,0
9 13 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.09945,0,0.999999,-1.19526,0
8 13 0.999999,-1.19526,0,0.5,-1.09945,0,0.495733,-0.883538,0,1.5,-0.94,0,1.5,-1.12,0
22 14 0,-1.07996,0,0,-1.33,0,-0.257586,-1.33,0,-0.240194,-1.05316,0
21 14 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.09797,0,-0.249978,-1.04986,0,-0.240194,-1.05316,0
20 14 0,-0.85992,0,0,-1.07996,0,-0.240194,-1.05316,0,-0.249978,-1.04986,0,-0.248565,-0.865155,0
19 14 -0.249978,-1.04986,0,-0.5,-1.09797,0,-0.495378,-0.878717,0,-0.248565,-0.865155,0
18 14 0.5,-1.09774,0,0.5,-1.33,0,0.242424,-1.33,0,0.259776,-1.05357,0
17 14 0.242424,-1.33,0,0,-1.33,0,0,-1.07996,0,0.249993,-1.04947,0,0.259776,-1.05357,0
16 14 0.495378,-0.878833,0,0.5,-1.09774,0,0.259776,-1.05357,0,0.249993,-1.04947,0,0.248552,-0.86518,0
15 14 0.249993,-1.04947,0,0,-1.07996,0,0,-0.85992,0,0.248552,-0.86518,0
14 14 -0.5,-1.09797,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.984904,-1.0483,0
13 14 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999552,-1.04307,0,-0.984904,-1.0483,0
12 14 -0.495378,-0.878717,0,-0.5,-1.09797,0,-0.984904,-1.0483,0,-0.999552,-1.04307,0,-0.990754,-0.915662,0
11 14 -0.999552,-1.04307,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.990754,-0.915662,0
10 14 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19497,0
9 14 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.09774,0,0.999999,-1.19497,0
8 14 0.999999,-1.19497,0,0.5,-1.09774,0,0.495378,-0.878833,0,1.5,-0.94,0,1.5,-1.12,0
22 15 0,-1.07688,0,0,-1.33,0,-0.257586,-1.33,0,-0.240194,-1.05037,0
21 15 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.09627,0,-0.249977,-1.04706,0,-0.240194,-1.05037,0
20 15 0,-0.85376,0,0,-1.07688,0,-0.240194,-1.05037,0,-0.249977,-1.04706,0,-0.248454,-0.859397,0
19 15 -0.249977,-1.04706,0,-0.5,-1.09627,0,-0.495022,-0.874003,0,-0.248454,-0.859397,0
18 15 0.5,-1.09602,0,0.5,-1.33,0,0.242424,-1.33,0,0.259776,-1.05082,0
17 15 0.242424,-1.33,0,0,-1.33,0,0,-1.07688,0,0.249992,-1.04664,0,0.259776,-1.05082,0
16 15 0.495022,-0.874127,0,0.5,-1.09602,0,0.259776,-1.05082,0,0.249992,-1.04664,0,0.248441,-0.859424,0
15 15 0.249992,-1.04664,0,0,-1.07688,0,0,-0.85376,0,0.248441,-0.859424,0
14 15 -0.5,-1.09627,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.984875,-1.04755,0
13 15 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999515,-1.04234,0,-0.984875,-1.04755,0
12 15 -0.495022,-0.874003,0,-0.5,-1.09627,0,-0.984875,-1.04755,0,-0.999515,-1.04234,0,-0.990043,-0.913789,0
11 15 -0.999515,-1.04234,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.990043,-0.913789,0
10 15 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19468,0
9 15 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.09602,0,0.999999,-1.19468,0
8 15 0.999999,-1.19468,0,0.5,-1.09602,0,0.495022,-0.874127,0,1.5,-0.94,0,1.5,-1.12,0
22 16 0,-1.0738,0,0,-1.33,0,-0.257586,-1.33,0,-0.240193,-1.04758,0
21 16 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.09458,0,-0.249977,-1.04426,0,-0.240193,-1.04758,0
20 16 0,-0.8476,0,0,-1.0738,0,-0.240193,-1.04758,0,-0.249977,-1.04426,0,-0.248343,-0.853638,0
19 16 -0.249977,-1.04426,0,-0.5,-1.09458,0,-0.494667,-0.869289,0,-0.248343,-0.853638,0
18 16 0.5,-1.09431,0,0.5,-1.33,0,0.242424,-1.33,0,0.259775,-1.04806,0
17 16 0.242424,-1.33,0,0,-1.33,0,0,-1.0738,0,0.249992,-1.04381,0,0.259775,-1.04806,0
16 16 0.494667,-0.869422,0,0.5,-1.09431,0,0.259775,-1.04806,0,0.249992,-1.04381,0,0.24833,-0.853668,0
15 16 0.249992,-1.04381,0,0,-1.0738,0,0,-0.8476,0,0.24833,-0.853668,0
14 16 -0.5,-1.09458,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.984846,-1.04681,0
13 16 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999478,-1.04161,0,-0.984846,-1.04681,0
12 16 -0.494667,-0.869289,0,-0.5,-1.09458,0,-0.984846,-1.04681,0,-0.999478,-1.04161,0,-0.989332,-0.911917,0
11 16 -0.999478,-1.04161,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.989332,-0.911917,0
10 16 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19439,0
9 16 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.09431,0,0.999999,-1.19439,0
8 16 0.999999,-1.19439,0,0.5,-1.09431,0,0.494667,-0.869422,0,1.5,-0.94,0,1.5,-1.12,0
22 17 0,-1.07072,0,0,-1.33,0,-0.257586,-1.33,0,-0.240193,-1.04479,0
21 17 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.09288,0,-0.249976,-1.04145,0,-0.240193,-1.04479,0
