0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 -0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 1.125 -1.13423 0 3 0.29365 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 0.374998 -1.1327 0 3 0.295957 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 -1.125 -1.13424 0 3 0.293631 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 -0.375007 -1.13271 0 3 0.295939 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
10 -1.30469 -1.12042 0 50 0.163282 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30452 -1.12012 0 51 0.163641 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30435 -1.11982 0 52 0.164001 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30418 -1.11951 0 53 0.16436 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30401 -1.11921 0 54 0.164719 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30385 -1.1189 0 55 0.165079 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30368 -1.1186 0 56 0.165438 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30351 -1.1183 0 57 0.165798 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30334 -1.11799 0 58 0.166157 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30317 -1.11769 0 59 0.166516 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25136 -1.09836 0 60 0.179513 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25122 -1.098 0 61 0.179813 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25108 -1.09764 0 62 0.180113 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25094 -1.09728 0 63 0.180412 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2508 -1.09692 0 64 0.180711 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25066 -1.09655 0 65 0.181009 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25052 -1.09619 0 66 0.181307 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25038 -1.09583 0 67 0.181605 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25023 -1.09547 0 68 0.181902 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.25009 -1.0951 0 69 0.182199 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24995 -1.09474 0 70 0.182496 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24981 -1.09438 0 71 0.182792 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24967 -1.09402 0 72 0.183088 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24953 -1.09366 0 73 0.183383 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24939 -1.09329 0 74 0.183678 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24925 -1.09293 0 75 0.183973 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24911 -1.09257 0 76 0.184267 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24897 -1.09221 0 77 0.184561 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24882 -1.09184 0 78 0.184855 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24868 -1.09148 0 79 0.185148 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24854 -1.09112 0 80 0.185441 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2484 -1.09076 0 81 0.185734 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24826 -1.0904 0 82 0.186026 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24812 -1.09003 0 83 0.186318 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24798 -1.08967 0 84 0.186609 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24784 -1.08931 0 85 0.1869 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.2477 -1.08895 0 86 0.187191 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24756 -1.08859 0 87 0.187482 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24742 -1.08822 0 88 0.187772 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24727 -1.08786 0 89 0.188061 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24713 -1.0875 0 90 0.18835 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24699 -1.08714 0 91 0.188639 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24685 -1.08677 0 92 0.188928 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24671 -1.08641 0 93 0.189216 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24657 -1.08605 0 94 0.189504 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24643 -1.08569 0 95 0.189791 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24629 -1.08533 0 96 0.190078 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24615 -1.08496 0 97 0.190365 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.24601 -1.0846 0 98 0.190652 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
